07-05-2023 18:16:29 | INFO | Starting
07-05-2023 18:17:09 | INFO | Shutdown recognized
07-05-2023 18:17:09 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:17:09 | INFO | Backup skipped
07-05-2023 18:17:09 | INFO | Started shutdown
07-05-2023 18:18:39 | INFO | Starting
07-05-2023 18:25:54 | INFO | Shutdown recognized
07-05-2023 18:25:54 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:25:54 | INFO | Backup recognized
07-05-2023 18:25:54 | INFO | Creating backup
07-05-2023 18:25:54 | DEBUG | base_path: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1
07-05-2023 18:25:54 | DEBUG | backupPaths: ['\\logs', '\\world', '\\world_nether', '\\world_the_end', '\\plugins']
07-05-2023 18:25:54 | DEBUG | targetPath: E:\backups_mc\2023-07-05 18.25.54
07-05-2023 18:25:55 | INFO | Start to backup: \logs
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\playerdata
07-05-2023 18:25:56 | INFO | |--------File: 35850f2b-6cd2-3c33-9bb1-a64d3528b9c8.dat.offline-read
07-05-2023 18:25:56 | INFO | |--------File: 35850f2b-6cd2-3c33-9bb1-a64d3528b9c8.dat_old
07-05-2023 18:25:56 | INFO | |--------File: 36c5cd13-61f4-44f1-9987-0390f20c9ea2.dat
07-05-2023 18:25:56 | INFO | |--------File: 36c5cd13-61f4-44f1-9987-0390f20c9ea2.dat_old
07-05-2023 18:25:56 | INFO | |--------File: 3e50712c-be5a-49e3-8832-c0c7f711d8e5.dat
07-05-2023 18:25:56 | INFO | |--------File: 3e50712c-be5a-49e3-8832-c0c7f711d8e5.dat_old
07-05-2023 18:25:56 | INFO | |--------File: 4ebe5f6f-c231-4315-9d60-097c48cc6d30.dat
07-05-2023 18:25:56 | INFO | |--------File: 4ebe5f6f-c231-4315-9d60-097c48cc6d30.dat_old
07-05-2023 18:25:56 | INFO | |--------File: 8303e712-e9c9-37e8-8999-8044bb1fc290.dat
07-05-2023 18:25:56 | INFO | |--------File: 8303e712-e9c9-37e8-8999-8044bb1fc290.dat_old
07-05-2023 18:25:56 | INFO | |--------File: af532a70-5211-4d79-8f37-0f133d4d7e6b.dat
